,tconst,year,genres,averagerating,numvotes,title,studio,foreign_gross,release_date,budgets,world_gross,domestic_gross,rating,director,writer,theater_date
2262,,,Art House and International|Comedy|Drama,,,,,,,,,,R,Paolo Taviani|Vittorio Taviani,Tonino Guerra|Paolo Taviani|Vittorio Taviani,"Jan 1, 1984"
2263,,,Comedy|Kids and Family,,,,,,,,,,PG,,John Hughes,"Jun 25, 1993"
2264,,,Animation|Comedy|Kids and Family,,,,,,,,,,G,Phil Roman,Dennis Marks,"Jan 1, 1992"
2265,,,Drama,,,,,,,,,,NR,Loc Do,,
2266,,,Action and Adventure|Drama|Mystery and Suspense,,,,,,,,,,R,Scott Reynolds,Scott Reynolds,"Jan 1, 2002"
2267,,,Documentary|Drama,,,,,,,,,,PG-13,Robert Towne,Kenny Moore|Robert Towne,"Sep 11, 1998"
2268,,,Art House and International|Classics|Drama,,,,,,,,,,PG,Akira Kurosawa,Akira Kurosawa|Masato Ide,"Oct 10, 1980"
2269,,,Drama|Mystery and Suspense,,,,The Weinstein Company,,,,,,PG-13,Morten Tyldum,Graham Moore,"Nov 28, 2014"
2270,,,Drama|Television,,,,,,,,,,NR,Ian Madden,Jimmy Gardner,"Jan 13, 2006"
2271,,,Action and Adventure|Mystery and Suspense,,,,Sony Pictures,,,,"18,472,363",,PG-13,John Stockwell,Matt Johnson,"Sep 30, 2005"
2272,,,Action and Adventure|Classics|Drama,,,,,,,,,,PG-13,,,"Dec 18, 1963"
2273,,,Comedy|Kids and Family,,,,,,,,"95,111,012",,G,Garry Marshall,Shonda Rhimes,"Aug 11, 2004"
2274,,,Art House and International|Drama,,,,,,,,,,NR,Helma Sanders-Brahms,,"Jan 1, 1997"
2275,,,Drama|Romance,,,,Big World Pictures,,,,,,G,Eric Rohmer,,"Jan 29, 1992"
2276,,,Drama,,,,,,,,,,NR,Anahita Ghazvinizadeh,Anahita Ghazvinizadeh,
2277,,,Drama,,,,,,,,"32,000,000",,NR,Claude Gagnon,Claude Cagnon,"Feb 6, 1992"
2278,,,Drama,,,,Warner Bros.,,,,"81,157,671",,PG-13,Ryan Coogler,Ryan Coogler|Aaron Covington,"Nov 25, 2015"
2279,,,Action and Adventure,,,,,,,,,,R,John Badham,Peter Barsocchini|John Bishop,"Dec 9, 1994"
2280,,,Comedy|Drama,,,,STX Entertainment,,,,"14,260,193",,R,Kelly Fremon Craig,Kelly Fremon Craig,"Nov 18, 2016"
2281,,,Action and Adventure|Drama|Mystery and Suspense,,,,Universal Pictures,,,,"209,805,005",,PG-13,Justin Lin,Chris Morgan,"Apr 29, 2011"
2282,,,Action and Adventure|Kids and Family,,,,,,,,,,NR,Karl Zwicky,Harry Cripps,
2283,,,Action and Adventure|Mystery and Suspense,,,,,,,,,,R,Lee Tamahori,David Mamet,"Sep 26, 1997"
2284,,,Western,,,,,,,,,,NR,Joseph Santley,Olive Cooper,
2285,,,Action and Adventure|Art House and International|Classics|Drama,,,,,,,,,,PG-13,Ridley Scott,Roselyne Bosch,"Oct 9, 1992"
2286,,,Action and Adventure|Comedy|Kids and Family|Science Fiction and Fantasy,,,,,,,,,,PG,John Pasquin,Leo Benvenuti|Steve Rudnick,"Nov 11, 1994"
2287,,,Horror,,,,,,,,,,R,Philippe Mora,Tom Holland,"Feb 12, 1982"
2288,,,Action and Adventure|Drama,,,,,,,,,,R,Peter Medak,Philip Ridley,"Jun 1, 1990"
2289,,,Drama,,,,,,,,,,NR,Nathan Hill,Nick Levy,
2290,,,Classics|Drama|Musical and Performing Arts,,,,,,,,,,NR,George Cukor,Gene Allen|Wyatt Cooper,"Oct 5, 1962"
2291,,,Art House and International|Drama,,,,,,,,,,NR,Alain Tanner,Alain Tanner,"Jan 1, 1983"
2292,,,,,,,,,,,,,NR,,,
2293,,,Horror,,,,,,,,,,R,Robert Deubel,,
2294,,,Drama,,,,,,,,,,NR,Emilio Ferrari,,
2295,,,Documentary|Drama|Special Interest,,,,,,,,,,NR,Jayne Loader|Kevin Rafferty|Pierce Rafferty,,"Mar 17, 1982"
2296,,,Action and Adventure,,,,,,,,,,R,John Gray,Kevin Brodbin,"Oct 4, 1996"
2297,,,Action and Adventure|Art House and International|Comedy|Drama,,,,,,,,,,PG-13,Jim Goddard,Robert Bentley|Tony Kenrick|John Kohn,"Aug 29, 1986"
2298,,,Action and Adventure|Comedy|Kids and Family|Science Fiction and Fantasy|Romance,,,,20th Century Fox,,,,,,PG,Rob Reiner,William Goldman,"Sep 25, 1987"
2299,,,Animation|Kids and Family|Science Fiction and Fantasy,,,,,,,,,,G,Art Vitello,,
2300,,,Classics|Drama,,,,Warner Bros. Pictures,,,,"12,900,000",,PG-13,,,"Feb 21, 2003"
2301,,,Comedy|Drama,,,,,,,,,,PG,,Mike Marvin|Alex Matter,"Jul 16, 1982"
2302,,,Art House and International|Drama|Special Interest,,,,,,,,,,NR,Sergei Parajanov,Sergei Parajanov|Sayat Nova,"Oct 6, 1980"
2303,,,Drama|Mystery and Suspense,,,,Phase 4 Films,,,,"16,632",,R,Will Canon,Will Canon|Douglas Simon,"Feb 18, 2011"
2304,,,Drama|Mystery and Suspense|Romance,,,,,,,,,,PG-13,Jon Amiel,Nicholas Meyer|Sarah Kernochan|Anthony Shaffer|Charles Mitchell,"Feb 5, 1993"
2305,,,Comedy|Drama,,,,20th Century Fox,,,,,,R,David Fincher,Jim Uhls,"Oct 15, 1999"
2306,,,Comedy|Drama,,,,USA Films,,,,,,R,Neil LaBute,,"Sep 8, 2000"
